"국가별",2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"국가별",수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원),수급자 (명),금액 (원)
"총계",4238,58868882640,4117,59938431190,4963,67732488330,5876,79086251010,7464,102319685139,8147,106301901170,8705,108942050200,10142,127933574150,10629,138613942000,9800,128861386640,10429,131600383330,11602,144950845240,11347,148300480310,11757,164535979970,13112,197901511050,14259,221399362020,15303,239018224140,17251,266751408110
"방글라데시",244,2371998670,200,2856755280,175,2338210640,147,1705466530,122,1514766640,119,1398978570,139,1462917250,166,1716228630,202,1937319080,176,1908156130,179,1945853690,147,1419225210,150,1591491610,196,2059597080,213,2606079640,212,2354860770,213,2663092430,234,2936537890
"중국",2117,38454292330,1943,37032669180,2052,37572773060,2243,38216463970,1845,33509772831,4809,72215378570,5295,73173153200,6453,87266136320,6931,97922044120,6430,89915258330,7027,92048564400,7989,104303622970,7844,107161311550,7931,117996283920,8846,138222604050,9414,149249661150,10001,158890080590,11779,183289853760
"가나",15,161779370,13,257644070,9,153017150,5,150889000,3,13523550,1,7657550,2,6034980,3,58248610,4,26716130,1,7292460,4,29791320,6,57151440,5,21670140,8,55945670,8,288140810,5,81171790,9,126846040,8,48162120
"인도",24,283429390,31,444647340,33,483422870,22,253080220,16,277512360,35,293365440,16,169987330,13,176133090,11,111912760,8,29981640,13,202323500,11,73482550,15,363569760,21,415618300,39,537762760,45,777202870,62,833820960,69,844738630
"인도네시아",266,1992450880,285,2322610570,326,3092808490,287,2714620840,269,2939364760,346,4203484230,342,4183053360,317,3346000020,311,3552033570,296,3354530240,307,4588040320,309,3388548220,308,3400201900,311,3545829290,266,3033922190,277,4507758790,281,4638738140,246,4437145480
"이란",30,333239160,20,166611440,18,88216740,14,192872710,7,91132190,5,176236880,2,13498270,4,24344140,3,105625170,3,47772780,1,2273020,1,4245240,6,36365560,6,48319140,4,46610060,6,34944480,6,146990160,10,92126830
"일본",3,12338900,3,42507440,4,40457050,5,87847230,5,53642530,11,73540280,7,20467980,7,153936680,13,99993890,14,68557520,12,85918260,14,34657180,12,74668190,19,87243830,24,133550170,27,277655360,33,252599800,31,369021370
